Field,2022,2023,2024
Revenue,5000000,5800000,6500000
Cost of Goods Sold,2500000,2800000,3000000
Gross Profit,2500000,3000000,3500000
Operating Expenses,1200000,1300000,1400000
EBIT,1300000,1700000,2100000
Interest Expense,150000,140000,130000
Net Income,950000,1250000,1600000
Total Assets,8000000,9000000,10500000
Current Assets,3000000,3500000,4200000
Current Liabilities,1200000,1300000,1400000
Total Liabilities,3500000,3800000,4000000
Total Equity,4500000,5200000,6500000
Inventory,600000,650000,700000
Operating Cash Flow,1100000,1400000,1800000
